Customer ID,Last Purchase Date,Total Number of Purchases,Total Spend (Monetary Value),Account Created Date
C00001,2024-08-30 17:29:59.452452,7,4078.5988150588064,2024-06-22 17:29:59.452452
C00002,2021-01-30 17:29:59.452452,3,287.1495523950924,2022-10-12 17:29:59.452452
C00003,2022-10-20 17:29:59.452452,1,188.06561881957697,2022-11-24 17:29:59.452452
C00004,2024-02-25 17:29:59.452452,5,423.19180817285087,2022-07-13 17:29:59.452452
C00005,2024-02-10 17:29:59.452452,2,111.8770673896788,2020-12-20 17:29:59.452452
C00006,2024-01-30 17:29:59.452452,4,410.1609061909056,2024-05-25 17:29:59.452452
C00007,2023-12-18 17:29:59.452452,2,906.9201317023515,2023-01-10 17:29:59.452452
C00008,2022-11-29 17:29:59.452452,5,851.4472201960448,2023-04-16 17:29:59.452452
C00009,2023-09-19 17:29:59.452452,1,92.9086929995024,2023-01-30 17:29:59.452452
C00010,2023-07-14 17:29:59.452452,3,433.9812143124097,2023-08-01 17:29:59.452452
C00011,2023-11-21 17:29:59.452452,10,79.93891458405496,2023-08-01 17:29:59.452452
C00012,2022-06-04 17:29:59.452452,1,506.54902811085327,2024-10-05 17:29:59.452452
C00013,2023-05-12 17:29:59.452452,4,59.346354096139635,2022-01-21 17:29:59.452452
C00014,2023-10-24 17:29:59.452452,4,269.2914340232732,2019-11-19 17:29:59.452452
C00015,2023-10-23 17:29:59.452452,3,165.75313818187368,2023-12-05 17:29:59.452452
C00016,2023-11-24 17:29:59.452452,4,474.0990998192996,2023-09-06 17:29:59.452452
C00017,2024-01-27 17:29:59.452452,1,479.543065653153,2021-08-31 17:29:59.452452
C00018,2024-02-04 17:29:59.452452,4,65.14042485279076,2023-07-01 17:29:59.452452
C00019,2024-06-22 17:29:59.452452,5,380.9441722316037,2021-05-04 17:29:59.452452
C00020,2024-08-11 17:29:59.452452,2,178.4160994115024,2021-04-28 17:29:59.452452
C00021,2022-10-21 17:29:59.452452,1,883.7260004866129,2023-10-31 17:29:59.452452
C00022,2024-07-21 17:29:59.452452,4,149.21074104025087,2024-06-10 17:29:59.452452
C00023,2024-01-17 17:29:59.452452,5,336.3387535596387,2023-06-01 17:29:59.452452
C00024,2024-09-04 17:29:59.452452,4,657.348468190174,2022-09-01 17:29:59.452452
C00025,2024-07-13 17:29:59.452452,3,88.60194053840661,2021-12-02 17:29:59.452452
C00026,2023-05-10 17:29:59.452452,5,154.3243132856034,2023-01-06 17:29:59.452452
C00027,2024-01-28 17:29:59.452452,3,75.20194227254552,2023-10-06 17:29:59.452452
C00028,2024-05-24 17:29:59.452452,5,657.9600437364086,2022-10-12 17:29:59.452452
C00029,2024-08-04 17:29:59.452452,2,162.97507119844232,2023-07-25 17:29:59.452452
C00030,2024-02-27 17:29:59.452452,3,140.28961561656902,2023-01-18 17:29:59.452452
C00031,2022-10-11 17:29:59.452452,6,237.66904081987263,2024-09-17 17:29:59.452452
C00032,2023-12-28 17:29:59.452452,3,442.4800976718202,2020-03-26 17:29:59.452452
C00033,2024-05-11 17:29:59.452452,7,682.5158819670471,2023-10-27 17:29:59.452452
C00034,2021-09-21 17:29:59.452452,6,675.2298728362923,2023-08-23 17:29:59.452452
C00035,2021-07-19 17:29:59.452452,10,682.3816596991073,2024-06-09 17:29:59.452452
C00036,2022-12-26 17:29:59.452452,1,72.0508843068047,2024-06-05 17:29:59.452452
C00037,2024-01-26 17:29:59.452452,3,60.27664255259218,2023-07-28 17:29:59.452452
C00038,2024-03-28 17:29:59.452452,4,501.60214870982895,2021-10-03 17:29:59.452452
C00039,2022-11-29 17:29:59.452452,3,743.3337667683713,2023-10-19 17:29:59.452452
C00040,2023-11-24 17:29:59.452452,3,459.8023684786853,2024-09-19 17:29:59.452452
C00041,2024-04-19 17:29:59.452452,4,297.3182193312057,2024-06-11 17:29:59.452452
C00042,2023-11-26 17:29:59.452452,6,51.562535152760695,2023-06-30 17:29:59.452452
C00043,2024-04-08 17:29:59.452452,2,915.9052953565281,2024-03-29 17:29:59.452452
C00044,2021-09-25 17:29:59.452452,4,782.0403097925353,2021-09-21 17:29:59.452452
C00045,2024-08-12 17:29:59.452452,3,75.88332438931228,2023-10-06 17:29:59.452452
C00046,2023-02-20 17:29:59.452452,5,189.82216084567906,2023-10-22 17:29:59.452452
C00047,2023-10-30 17:29:59.452452,3,150.8574294244538,2022-10-15 17:29:59.452452
C00048,2024-05-30 17:29:59.452452,2,93.40843864817646,2022-11-13 17:29:59.452452
